id;from1;comment1;date1;testcountry
625;Els R;"A great way to discover Sofia! Living in Sofia for my job, I always handover my family and friends to the lovely and dynamic guides of the Free Sofia Tour. They all appreciate these guided tours during which the history of Sofia and Bulgaria are explained in a nutshell .. perfect way to get yourself introduced and find out what you want to explore more in detail during your next days.
Thanks a lot Christina! 
Els, Filip, Luc, Dirk, Jacques, Yolanda, Hilde, Pascal - Belgium";01.05.2015;Belgium
626;Marcio P;Vicky, on her very first time as a tour guide, managed to lead us smoothly through Sofia's main sights. Totally recommend it!;01.05.2015;
627;Mila002015;"Nice tour to do, especially when it's your first time in Sofia. In less then 2 hours you will get a global image of the city and its most important places, so you can later go and discover everything more at ease if you want to.
The tours are given by enthusiastic young people, most of them are studying tourism or something in that area. It's amazing that the choose to do this for free, just to help people get to know their awesome city.";02.05.2015;Belgium
628;Abel B;I spent one day in Sofia participating free tours, first I join normal tour which was plenty of interesting and funny stories which still keep in my mind, to guide was motivated and energetic and was really nice walk. After that I join comunist tour, was amazing tour for 3h really deep in the topic, we were small group everyone really interested people. It was one of the best tours I did.;03.05.2015;
629;RCHNZ;Fantastic! Lovely guide, and although it was her first tour, she did an excellent job and we were very happy. Not too much walking, because main sites are all very close. Would highly recommend.;04.05.2015;New Zealand
630;Julie C;"I took two tours...the free history tour and a new tour focused on culture. Both were very good. The tour size was large (25) so it was difficult to hear the guides at times. Guides were friendly and knowledgeable and encouraged questions.
They need to watch the length of their tours. I was told the culture tour would be about 3 hers and it was over 4 hours. The history tour was advertised as 1.5 hours but ran 2.15 hours. Maybe it was due to the large group size. Otherwise this was a great way to spend an afternoon in Sofa.";05.05.2015;USA
631;Evelyn B;"If you want to learn more about Sofia and bulgarian history, represented in a really interesting way - you got to the right! Passionate historians, people, who are experts in their field of study gave me the opportunity to see the city that I live in a whole new way. They showed me things that I pass by every day on my way to job, but never even notice. Definately the best way to learn more about Sofia is the Free Sofia tour. Great job guys! 
I also highly recommend The communist tour - it's a little bit longer (about 3 hours), but definately worth it!";06.05.2015;
632;chessiegirl;We had a tour with Deni. Lots of people had turned up and the group was split into two. We went with her and must have been about 30 in each group. Her English is superb and I think everyone was able to hear her all the time. She was funny, knowledgeable and paced the tour well. We saw most of the main sites - as the city is quite small they are fairly close together. Remember to wear flat shoes as the pavements are very uneven. At the end there was no pressure to tip, we did as it was something we would have paid a lot to do in other cities. Really enjoyed it and recommend it as a way to understand the history of the country and the city.;06.05.2015;UK
633;Myathe;"Very nice tour, we got one with Deni. She was nice and knowledgeable and entertaining as well. Lots of nice stories. I highly recommend it. Also a good sign was when we came to the meeting point, it was so many people, like 60- 80. And we got 3 guides for free walking tour and 1 guide for cultural tour, so we got divided into 4 groups. Each group was not more than 20, which was perfect.
Thank you Deni!";07.05.2015;Turkey
634;desimgm;Our tour on the European Day - 09 May 2015 was perfect! Our guide was Dessi, who was so smile and friendly. The tour was amazing! :);09.05.2015;Bulgaria
635;Amit K;We had a new instructor and still we enjoyed the tour quite a bit. A lot of fun facts and a great way to get your way around the city in a short period of a time. Definitely recommended,;07.05.2015;UK
636;Paul B;Being a sceptic I thought this would be a scam however the free tour really is free & the guides are excellent . Highly recommended .;09.05.2015;UK
637;travelroc12;joined 20 other people for 11 am tour .this is too many for 1 guide, but Kristina did an excellent job. good english, great sense of humor. enough stops to allow seniors to keep up. 2 hour tour left us tired but satisfied.;09.05.2015;USA
638;Daesub J;for 2 hours I could feel the most. learn Bulgarian history, four religions in tolerance square and some practical information. It was great!;10.05.2015;South Korea
639;Daniel S;... to get a fabulous impression of Sofia. The tour was well organized. Simona as a tour guide was great. We learned much about Sofia.;09.05.2015;
640;Vgnr;"Greatest surprise as I had no expectations when joining the tour after seeing a flyer at the hotel. A complete walking tour through the main Sofia sites with lots of information and fun, nice atmosphere, excellent guide (Nikola). Highly recommended!
";11.05.2015;Belgium
